card_name,perk,value,frequency,keywords,expires,notes,used
Chase Sapphire Reserve,$300 Annual Travel Credit,$300,Annual (cardmember year),"travel, airlines, hotels, tolls, parking, trains",Resets on card anniversary,Automatically applied to travel purchases,
Chase Sapphire Reserve,$500 The Edit Hotel Credit,$250 x2,Annual (calendar year),"The Edit, Chase Travel, hotels",Dec 31,"Two $250 credits, 2-night min prepaid stays via Chase Travel",
Chase Sapphire Reserve,$250 Select Hotels Credit,$250,Annual (2026 only),"IHG, Montage, Pendry, Omni, Virgin Hotels",Dec 31,Prepaid 2-night min via Chase Travel,
Chase Sapphire Reserve,Priority Pass Lounge Access,Free,Ongoing,"airport, lounge, Priority Pass",,2 guests included,
Chase Sapphire Reserve,Chase Sapphire Lounge Access,Free,Ongoing,"airport, lounge, Chase Sapphire Lounge",,2 guests included,
Chase Sapphire Reserve,Global Entry / TSA PreCheck Credit,$120,Every 4 years,"Global Entry, TSA PreCheck, NEXUS",,,
Chase Sapphire Reserve,DoorDash Credits,$300/yr,Monthly,"DoorDash, food delivery",Dec 31,$25/mo promos + free DashPass,
Chase Sapphire Reserve,Lyft Credits,$120/yr,Monthly,"Lyft, rideshare",Dec 31,$10/mo + 5x points on Lyft rides,
Chase Sapphire Reserve,StubHub Credit,$300/yr,Annual,"StubHub, concerts, events, tickets",Dec 31,Statement credit on concert/event tickets,
Chase Sapphire Reserve,Apple TV+ & Apple Music,$250/yr value,Annual,"Apple TV, Apple Music, streaming",Dec 31,Complimentary subscriptions,
Chase Sapphire Reserve,Peloton Credit,$120/yr,Monthly,Peloton,"Dec 31, 2027",$10/mo on eligible membership + 10x on purchases over $150,
Chase Sapphire Reserve,IHG Platinum Elite Status,Free,Through Dec 2027,"IHG, hotels","Dec 31, 2027","60% bonus points, upgrades, late checkout",
Chase Sapphire Reserve,Hertz Five Star Status,Free,Ongoing,"Hertz, rental car",,Via IHG Platinum Elite,
Chase Sapphire Reserve,Primary Rental Car Insurance,Free,Ongoing,"rental car, Hertz, Avis, Enterprise, National",,Decline rental company CDW,
Amazon Prime Visa,No Foreign Transaction Fee,Free,Ongoing,"international, travel, foreign",,,
United Club Card,United Club Lounge Access,Free,Ongoing,"United, airport, lounge, United Club",,Primary cardholder + 2 guests,
United Club Card,Free First Checked Bag,Free,Per flight,"United, checked bag, luggage",,Cardholder + companion on same reservation,
United Club Card,Priority Boarding,Free,Per flight,"United, boarding, priority",,Group 2 boarding,
United Club Card,25% Back on Inflight,25% back,Per purchase,"United, inflight, food, drinks, WiFi",,Statement credit on inflight purchases,
United Club Card,Global Entry / TSA PreCheck,$100,Every 4 years,"Global Entry, TSA PreCheck",,,
Southwest Priority,$75 Annual Travel Credit,$75,Annual,"Southwest, airlines, travel",Card anniversary,For Southwest purchases,
Southwest Priority,4 Upgraded Boardings/Year,Free,Annual,"Southwest, boarding, upgrade",Card anniversary,When available at gate,
Southwest Priority,25% Back on Inflight,25% back,Per purchase,"Southwest, inflight, WiFi, drinks",,,
Southwest Priority,Tier Qualifying Points Boost,"1,500 TQPs",Annual,"Southwest, A-List, status",Card anniversary,Toward A-List qualification,
Amex Platinum,$200 Airline Incidental Fee Credit,$200,Annual (calendar year),"airline, checked bags, seat selection, inflight",Dec 31,Select ONE qualifying airline and enroll,
